time,angle,gyro
2.4,0.00678581048841267,0.0244445098204137
2.41,0.00704268922599853,0.0265452420225474
2.42,0.00731037768577914,0.0267341046841095
2.425,0.00744312790771506,0.0263183722080879
2.43,0.00757253625414831,0.0252929640187303
2.44,0.00780581766941603,0.0209118090870832
2.45,0.00798335969793802,0.0142944563828738
2.46,0.00809627319405037,0.0089493559461081
2.47,0.00817321005498615,0.0068812756723868
2.475,0.00820701663618148,0.00672320152333912
2.48,0.00824092183241704,0.0068561250008718
2.49,0.00831188019788118,0.00738702141503089
2.5,0.00838951066517603,0.00817382460676634
2.51,0.00873233008097889,0.0603622803095797
2.52,0.00959630286850809,0.112413933522661
2.525,0.0102233553879763,0.138403742967977
2.53,0.0109753789720186,0.161464614889151
2.54,0.0127624652180042,0.193156280898251
2.55,0.0147925809945606,0.210994302927298
2.56,0.0169264855546612,0.212257193760896
2.57,0.0189797697040111,0.196036795969303
2.575,0.0199291005696203,0.183259918430277
2.58,0.0208086688222175,0.168257415727203
2.59,0.0223220671511141,0.13350226010552
2.6,0.0234636198438685,0.0941935481112613
2.61,0.0242138688629266,0.0570781537867135
2.62,0.0246252718569758,0.0260226990240167
2.625,0.0247202413754236,0.0121167529461833
2.63,0.0247507109777202,0.000746766112362107
2.64,0.0246862574630045,-0.0116279647037348
2.65,0.0245511750944724,-0.0140408771297464
2.66,0.0244384333623878,-0.00662072504549038
2.67,0.0244497635695406,0.0101518012946257
2.675,0.0245271541139496,0.0210379882562699
2.68,0.0246601076836571,0.0319253156628845
2.69,0.0250747554676646,0.0503565702544322
2.7,0.0256566092157746,0.0655810821837301
2.71,0.0263684747909788,0.0755243272456387
2.72,0.0271462834439697,0.0791891157088081
2.725,0.0275430132363053,0.0793464962374754
2.73,0.0279374282838395,0.0781194399314187
2.74,0.0286878098569016,0.0710659559405748
2.75,0.0293441266201108,0.0596017643643874
2.76,0.0298742083780864,0.0463913569494704
2.77,0.0302715858817163,0.0330698468035229
2.775,0.0304202212178643,0.0263819017669606
2.78,0.0305364444661961,0.020307380668825
2.79,0.0306911429906738,0.0112276656628098
2.8,0.0307707899581204,0.00510178213762903
2.81,0.0308039330562008,0.00217394056225299
2.82,0.0308249102193764,0.00245613447163603
2.825,0.0308394915662464,0.0034568113232256
2.83,0.030859929752296,0.00473161963899559
2.84,0.0309208137818073,0.00748510108089914
2.85,0.0310102987116221,0.0104396695280039
2.86,0.031133686872122,0.0145849292498869
2.87,0.0313077076104828,0.0204526868961169
2.875,0.0314183527433426,0.0238486408678192
2.88,0.0315453570057169,0.0267546391114325
2.89,0.0318297043127687,0.0295259327398137
2.9,0.0321262145359203,0.0293826908745731
2.91,0.0324097044586517,0.0269437904551289
2.92,0.0326590007474139,0.0226677534171678
2.925,0.032765887149182,0.0200413395428201
2.93,0.0328592060538937,0.017287761991403
2.94,0.0330046505327338,0.0118066471072793
2.95,0.0330954426166891,0.00635667005973739
2.96,0.0331377061392903,0.00262869763944549
2.97,0.0331567787736551,0.00154385481901017
2.975,0.0331647469521037,0.00170969989692576
2.98,0.0331745470551693,0.00227811424730688
2.99,0.0332072086067914,0.00445647968738623
3,0.0332670111831426,0.0076406473572619
3.01,0.0331908544043228,-0.0228332357367291
3.02,0.0328110027602902,-0.0531092746052027
3.025,0.0325077390254846,-0.0681906886486454
3.03,0.0321318050638711,-0.0816723720096501
3.04,0.0312118327862343,-0.100803553132165
3.05,0.0301406929599309,-0.112405639458631
3.06,0.0289918318030926,-0.115653199072911
3.07,0.0278557808880629,-0.110408390233139
3.075,0.0273154391002067,-0.105516275526044
3.08,0.0268028653411251,-0.0992774541632708
3.09,0.0258870560913296,-0.0831833353984405
3.1,0.0251507188160534,-0.0636140121378049
3.11,0.0246158211424695,-0.0436553932004008
3.12,0.0242728616885371,-0.0251295701286593
3.125,0.0241695083965903,-0.0162471413091175
3.13,0.0241084057894952,-0.00853945448778466
3.14,0.0240787441193487,0.001582189548541
3.15,0.0241232426870824,0.00663350201606787
3.16,0.0241931639696155,0.00625717395772423
3.17,0.0242304613924243,0.000473190441914352
3.175,0.0242223380701429,-0.00385635300026995
3.18,0.024191386369933,-0.00850060090185879
3.19,0.0240614215339483,-0.0174197075888581
3.2,0.023844215869407,-0.0259699508242621
3.21,0.023545933624538,-0.0333742821198897
3.22,0.0231818850642764,-0.0392238076520656
3.225,0.0229794056586325,-0.0417284126555293
3.23,0.0227655327638679,-0.0436792215392159
3.24,0.0223179924957955,-0.0454067369201783
3.25,0.0218643525200391,-0.0450365022540277
3.26,0.0214264504619301,-0.0419445492158448
3.27,0.0210353215518931,-0.0358782873320314
3.275,0.0208653195489987,-0.0320478760293383
3.28,0.0207147863770422,-0.0282436173202795
3.29,0.0204655723955617,-0.0218297793193974
3.3,0.0202744287701249,-0.0165510655844113
3.31,0.0201354339638083,-0.0110429574262699
3.32,0.0200569777015018,-0.00450702150980726
3.325,0.0200432519257664,-0.000956349987213858
3.33,0.0200466008705143,0.00211690586967519
3.34,0.0200874855577235,0.00553427532491971
3.35,0.020148742874341,0.00637366671942602
3.36,0.0202093040806164,0.00550767361636506
3.37,0.0202552109548261,0.00352907165137188
3.375,0.0202697520015555,0.00226275968915821
3.38,0.0202773102089254,0.000682310964513452
3.39,0.0202635735958047,-0.00365202837032584
3.4,0.0202007598808241,-0.00904634837936819
3.41,0.020087992042932,-0.0129131122808058
3.42,0.0199523494639411,-0.0138085916509432
3.425,0.0198840236025384,-0.0134448081574816
3.43,0.0198186361659162,-0.012639940971573
3.44,0.0197046891101033,-0.00993280254305317
3.45,0.0196236541766496,-0.0061182675375115
3.46,0.0195842070049839,-0.00172756817079495
3.47,0.0195899542671542,0.00291881281638619
3.475,0.0196105637454052,0.0053352477433566
3.48,0.0196427030593082,0.00739657043995099
3.49,0.0197297433710909,0.0096583620674443
3.5,0.0198302776621917,0.0102310798960884
3.51,0.0197786535672156,-0.0210715732984114
3.52,0.0194006381782475,-0.0548528490731216
3.525,0.0190827460720876,-0.0723585702773568
3.53,0.0186796709714165,-0.0883250076912194
3.54,0.0176704845969541,-0.111894184164602
3.55,0.0164683083385364,-0.127461724259307
3.56,0.015157361953803,-0.132346027987739
3.57,0.0138602227826359,-0.125511556706202
3.575,0.0132482040094777,-0.119010559391848
3.58,0.0126726554188864,-0.110984048761449
3.59,0.0116568645685962,-0.0915199185384855
3.6,0.0108528213524272,-0.0688669144579401
3.61,0.0102806746407581,-0.0458017916898563
3.62,0.00993276097838503,-0.0239500676984899
3.625,0.00983955316783756,-0.0133661462009424
3.63,0.00979707323031811,-0.00398041121382947
3.64,0.00982932325026905,0.00939079621221772
3.65,0.00996799190787825,0.0176626187672797
3.66,0.010161698796537,0.0197514166951351
3.67,0.0103416370919008,0.0153851054895175
3.675,0.0104093503828957,0.0115502342532341
3.68,0.010455952327028,0.00700022152450904
3.69,0.0104750560822774,-0.00342479951950265
3.7,0.0103837405314978,-0.0149738174935998
3.71,0.0101778039310488,-0.0259047988215031
3.72,0.00987086684251708,-0.0352615222722932
3.725,0.00968387731451588,-0.0394904590568347
3.73,0.00947747711950776,-0.0428222229454721
3.74,0.00903113034091564,-0.0457237675911647
3.75,0.00857475323248718,-0.0450782773004744
3.76,0.00813805773166137,-0.04187927113006
3.77,0.00774333546774376,-0.0368182821339972
3.775,0.00756666440976289,-0.0338059712472249
3.7791808448337,0.00743086095370104,-0.0311482335064238
3.77918084483373,0.00743086095370016,-0.0311482335064055
3.78,0.0074055617207272,-0.0306204951293951
3.78081915516627,0.00738069565526475,-0.0300906503872299
3.78245746549881,0.0073322697459546,-0.0290249371572732
3.7857340861639,0.0072406866025636,-0.0268713453842403
3.79,0.00713210442307457,-0.0240288037292366
3.8,0.00692566391752433,-0.0172323268157607
3.81,0.00678745875081081,-0.0104300934313264
3.82,0.00671672172891878,-0.00373066326809719
3.825,0.00670638427337828,-0.000406615835418587
3.83,0.0067118429173258,0.00243863598823286
3.84,0.00675550264134924,0.00586539050310668
3.85,0.0068223921460294,0.00724987347324382
3.86,0.00689147660270251,0.00597091286733183
3.87,0.00693245130989891,0.00186312928155808
3.875,0.00693507011498252,-0.000875599801631412
3.88,0.006923456653946,-0.00376133635914906
3.89,0.00685762058537021,-0.00936684389257686
3.9,0.00673694415902186,-0.0147257173274562
3.91,0.00656609518908562,-0.0192099716190637
3.92,0.00635668884875814,-0.0225050840112733
3.925,0.00624080486433986,-0.02381580225825
3.93,0.006119287614637,-0.0246772802692153
3.94,0.00587090465540389,-0.0246645628528278
3.95,0.00563146656948324,-0.0230009365610223
3.96,0.00541488987572278,-0.0201336087559827
3.97,0.00523175425428459,-0.0163730372002334
3.975,0.00515512950748314,-0.0142545744818776
3.98,0.00508891595765045,-0.0123058841358356
3.99,0.00498083716035045,-0.00951670028238736
4,0.0048953909997857,-0.00769247760233361
4.01,0.00456446770508698,-0.0585177655696183
4.02,0.00372476166913672,-0.109427209976115
4.025,0.00311399247060225,-0.134878604230648
4.03,0.00238029270924291,-0.157789346134917
4.04,0.000622305449858108,-0.191538847163951
4.05,-0.001414988186468,-0.2145585797549
4.06,-0.00364505121377404,-0.230415217322724
4.07,-0.00600779594796552,-0.241579291010248
4.075,-0.00722737365315394,-0.246175349265329
4.08,-0.00846894649528515,-0.250408255203917
4.09,-0.0110132867172537,-0.258416972945331
4.1,-0.0136378240880938,-0.266575337261717
4.11,-0.0163473756500897,-0.275500738207836
4.12,-0.0191517106471736,-0.285582756123316
4.125,-0.0205933600961146,-0.291137421343254
4.13,-0.0220637045907712,-0.297063768513385
4.14,-0.0250981468903864,-0.310091020087469
4.15,-0.0282709694124434,-0.324750268630103
4.16,-0.0315987482639146,-0.341087455326895
4.17,-0.0350983805206288,-0.359122680662641
4.175,-0.0369179564340386,-0.36877855749994
4.18,-0.0387868740600681,-0.378859194592876
4.19,-0.0426812100990981,-0.400289172254284
4.19294588403569,-0.0438701511685871,-0.406923043444578
4.19294588403575,-0.0438701511686102,-0.406923043444707
4.2,-0.0467982522883484,-0.423397423509043
4.20705411596425,-0.0498454805087418,-0.440696949391528
4.21,-0.0511546858990049,-0.44816376416663
4.22,-0.0557669759610538,-0.474564539073955
4.225,-0.0581741448396778,-0.488369743931303
4.23,-0.0606513378075745,-0.502573589685142
4.24,-0.065823715359881,-0.532162872505332
4.25,-0.0712997643856299,-0.563302852393227
4.26,-0.0770948389263897,-0.595962751793998
4.27,-0.0832239797221211,-0.630110708599276
4.275,-0.0864184369735186,-0.647732480402145
4.28,-0.0897019039018555,-0.665713875762117
4.29,-0.0965429954721559,-0.702738483978139
4.3,-0.103761296306132,-0.74114988101605
4.31,-0.111370497446865,-0.78091255628215
4.32,-0.119383930606259,-0.82199015611683
4.325,-0.123546300034476,-0.843010464116078
4.33,-0.127814559785543,-0.864345493269516
4.34,-0.136674972970925,-0.907940552737887
4.34999999999994,-0.145977373875363,-0.952736495344395
4.35,-0.145977373875417,-0.952736495344653
4.36,-0.155504738828864,-0.952736495344653
4.37,-0.16503210378231,-0.952736495344653
4.375,-0.169795786259033,-0.952736495344653
4.38,-0.174559468735756,-0.952736495344653
4.39,-0.184086833689203,-0.952736495344653
4.4,-0.19361419864265,-0.952736495344653
4.41,-0.203141563596096,-0.952736495344653
4.42,-0.212668928549542,-0.952736495344653
4.425,-0.217432611026266,-0.952736495344653
4.43,-0.222196293502989,-0.952736495344653
4.44,-0.231723658456436,-0.952736495344653
4.45,-0.241251023409882,-0.952736495344653
4.46,-0.250778388363329,-0.952736495344653
4.47,-0.260305753316775,-0.952736495344653
4.475,-0.265069435793499,-0.952736495344653
4.48,-0.269833118270222,-0.952736495344653
4.49,-0.279360483223668,-0.952736495344653
4.5,-0.288887848177115,-0.952736495344653
4.51,-0.298415213130561,-0.952736495344653
4.52,-0.307942578084008,-0.952736495344653
4.525,-0.312706260560731,-0.952736495344653
4.53,-0.317469943037454,-0.952736495344653
4.54,-0.326997307990901,-0.952736495344653
4.55,-0.336524672944347,-0.952736495344653
4.56,-0.346052037897794,-0.952736495344653
4.57,-0.355579402851241,-0.952736495344653
4.575,-0.360343085327964,-0.952736495344653
4.58,-0.365106767804687,-0.952736495344653
4.59,-0.374634132758133,-0.952736495344653
4.6,-0.38416149771158,-0.952736495344653
4.61,-0.393688862665027,-0.952736495344653
4.62,-0.403216227618473,-0.952736495344653
4.625,-0.407979910095196,-0.952736495344653
4.63,-0.412743592571919,-0.952736495344653
4.64,-0.422270957525366,-0.952736495344653
4.65,-0.431798322478813,-0.952736495344653
4.66,-0.441325687432259,-0.952736495344653
4.67,-0.450853052385705,-0.952736495344653
4.675,-0.455616734862428,-0.952736495344653
4.68,-0.460380417339152,-0.952736495344653
4.69,-0.469907782292599,-0.952736495344653
4.7,-0.479435147246045,-0.952736495344653
4.71,-0.488962512199491,-0.952736495344653
4.72,-0.498489877152938,-0.952736495344653
4.725,-0.503253559629662,-0.952736495344653
4.73,-0.508017242106385,-0.952736495344653
4.74,-0.517544607059831,-0.952736495344653
4.75,-0.527071972013278,-0.952736495344653
4.76,-0.536599336966724,-0.952736495344653
4.77,-0.546126701920171,-0.952736495344653
4.775,-0.550890384396894,-0.952736495344653
4.78,-0.555654066873618,-0.952736495344653
4.79,-0.565181431827064,-0.952736495344653
4.8,-0.57470879678051,-0.952736495344653
4.81,-0.584236161733957,-0.952736495344653
4.82,-0.593763526687404,-0.952736495344653
4.825,-0.598527209164127,-0.952736495344653
4.83,-0.60329089164085,-0.952736495344653
4.84,-0.612818256594296,-0.952736495344653
4.85,-0.622345621547744,-0.952736495344653
4.86,-0.63187298650119,-0.952736495344653
4.87,-0.641400351454636,-0.952736495344653
4.875,-0.646164033931359,-0.952736495344653
4.88,-0.650927716408083,-0.952736495344653
4.89,-0.660455081361529,-0.952736495344653
4.9,-0.669982446314976,-0.952736495344653
4.91,-0.679509811268422,-0.952736495344653
4.92,-0.689037176221869,-0.952736495344653
4.925,-0.693800858698592,-0.952736495344653
4.93,-0.698564541175315,-0.952736495344653
4.94,-0.708091906128762,-0.952736495344653
4.95,-0.717619271082209,-0.952736495344653
4.96,-0.727146636035655,-0.952736495344653
4.97,-0.736674000989101,-0.952736495344653
4.975,-0.741437683465825,-0.952736495344653
4.98,-0.746201365942548,-0.952736495344653
4.99,-0.755728730895995,-0.952736495344653
4.99999999999994,-0.765256095849387,-0.952736495344653
5,-0.765256095849441,-0.952736495344653
